Country,Code,y2020
United States,USA,20953000000000
China,CHN,14722700000000
Japan,JPN,5057760000000
Germany,DEU,3846410000000
United Kingdom,GBR,2759800000000
India,IND,2660250000000
France,FRA,2630320000000
Italy,ITA,1888710000000
Canada,CAN,1645420000000
"Korea, Rep.",KOR,1637900000000
Russian Federation,RUS,1483500000000
Brazil,BRA,1444730000000
Australia,AUS,1327840000000
Spain,ESP,1281480000000
Mexico,MEX,1073920000000
Indonesia,IDN,1058420000000
Netherlands,NLD,913865000000
Switzerland,CHE,752248000000
Turkey,TUR,719955000000
Saudi Arabia,SAU,700118000000
Poland,POL,596624000000
Sweden,SWE,541220000000
Belgium,BEL,521861000000

Thailand,THA,501644000000
Low income,LIC,459730000000
Small states,SST,451424000000
Austria,AUT,433258000000
Nigeria,NGA,432294000000
Ireland,IRL,425889000000
Israel,ISR,407101000000
Argentina,ARG,389288000000
Other small states,OSS,375853000000
"Egypt, Arab Rep.",EGY,365253000000
Norway,NOR,362198000000
Philippines,PHL,361489000000
United Arab Emirates,ARE,358869000000
Denmark,DNK,356085000000
"Hong Kong SAR, China",HKG,346586000000
Singapore,SGP,339998000000
Malaysia,MYS,337006000000
South Africa,ZAF,335442000000
Bangladesh,BGD,323057000000
Colombia,COL,271438000000
Vietnam,VNM,271158000000
Finland,FIN,269595000000
Pakistan,PAK,262610000000
Chile,CHL,252940000000
Romania,ROU,248716000000
Czech Republic,CZE,245339000000
Portugal,PRT,228539000000
New Zealand,NZL,210701000000
"Iran, Islamic Rep.",IRN,203471000000
Peru,PER,202014000000
Greece,GRC,188835000000
Kazakhstan,KAZ,171082000000
Iraq,IRQ,166757000000
Hungary,HUN,155808000000
Ukraine,UKR,155499000000
Algeria,DZA,145009000000
Qatar,QAT,144411000000
Morocco,MAR,114725000000
Ethiopia,ETH,107645000000
Cuba,CUB,107352000000
Kuwait,KWT,105960000000
Slovak Republic,SVK,105173000000
Puerto Rico,PRI,103138000000
Kenya,KEN,101014000000
Ecuador,ECU,98808010000
Sri Lanka,LKA,80676681934
Myanmar,MMR,79852046611
Dominican Republic,DOM,78844702329
Guatemala,GTM,77604632171
Oman,OMN,73971391417
Luxembourg,LUX,73353132794
Bulgaria,BGR,69889347433
Ghana,GHA,68532281806
Caribbean small states,CSS,66039332389
Tanzania,TZA,62409709111
Costa Rica,CRI,61846895121
Cote d'Ivoire,CIV,61348579465
Belarus,BLR,60258239056
Uzbekistan,UZB,59929951114
Angola,AGO,58375976293
Croatia,HRV,57203783203
Lithuania,LTU,56546957475
Panama,PAN,53977036995
Uruguay,URY,53628827440
Slovenia,SVN,53589609581
Serbia,SRB,53335016425
"Congo, Dem. Rep.",COD,48716960860
Jordan,JOR,43697659296
Azerbaijan,AZE,42607176471
Tunisia,TUN,41620349986
Cameroon,CMR,40804449726
Uganda,UGA,37600368181
Bolivia,BOL,36572764863
Paraguay,PRY,35670301496
Bahrain,BHR,34729228723
Latvia,LVA,33707320816
Nepal,NPL,33657175561
Lebanon,LBN,31735217785
Estonia,EST,30650285472
Cambodia,KHM,25808561551
"Macao SAR, China",MAC,25586111076
Libya,LBY,25418916029
Papua New Guinea,PNG,24668899683
Senegal,SEN,24644234595
El Salvador,SLV,24638720000
Cyprus,CYP,24612646488
Honduras,HND,23662231634
Iceland,ISL,21718075725
Trinidad and Tobago,TTO,21588037505
Sudan,SDN,21329109522
Afghanistan,AFG,20116137326
Bosnia and Herzegovina,BIH,19946496563
Lao PDR,LAO,19132635712
Zambia,ZMB,18110631358
Zimbabwe,ZWE,18051170799
Burkina Faso,BFA,17933606353
Mali,MLI,17465392916
Georgia,GEO,15846489611
Guinea,GIN,15681050917
Benin,BEN,15651545332
West Bank and Gaza,PSE,15561300000
Gabon,GAB,15316826192
Botswana,BWA,15061922802
Albania,ALB,14887629268
Malta,MLT,14647384608
Haiti,HTI,14508218017
Mozambique,MOZ,14019446610
Jamaica,JAM,13812425037
Niger,NER,13741378450
Mongolia,MNG,13312981595
Madagascar,MDG,13056079982
Armenia,ARM,12641209802
Nicaragua,NIC,12621505383
North Macedonia,MKD,12263710123
Malawi,MWI,12182348213
Brunei Darussalam,BRN,12005825770
Moldova,MDA,11915547263
Mauritius,MUS,10920606198
Chad,TCD,10829076802
Namibia,NAM,10619194505
Rwanda,RWA,10333991456
"Congo, Rep.",COG,10187122341
Equatorial Guinea,GNQ,10021856754
"Bahamas, The",BHS,9907500000
Pacific island small states,PSS,9530487872
Tajikistan,TJK,8194150302
Mauritania,MRT,7913680231
Kyrgyz Republic,KGZ,7735976273
Kosovo,XKX,7716925356
Togo,TGO,7574636979
Somalia,SOM,6965285325
Bermuda,BMU,6842700000
Monaco,MCO,6816219303
Guam,GUM,5844000000
Cayman Islands,CYM,5591623665
Guyana,GUY,5471256595
Montenegro,MNE,4769860741
Fiji,FJI,4533883782
Barbados,BRB,4418000000
Sierra Leone,SLE,4063289450
Eswatini,SWZ,3972728948
Maldives,MDV,3742769967
Djibouti,DJI,3384385217
Liberia,LBR,3201187800
Suriname,SUR,2884248048
Burundi,BDI,2841786382
Curacao,CUW,2595821709
Central African Republic,CAF,2380087758
Bhutan,BTN,2315437338
Timor-Leste,TLS,1902156800
Lesotho,LSO,1875227642
"Gambia, The",GMB,1868086275
Cabo Verde,CPV,1703698677
Belize,BLZ,1636280797
St. Lucia,LCA,1616772741
Solomon Islands,SLB,1545888426
Guinea-Bissau,GNB,1431758243
Antigua and Barbuda,ATG,1370281481
Comoros,COM,1235400352
Seychelles,SYC,1059886364
Grenada,GRD,1042100556
St. Kitts and Nevis,KNA,980740741
Turks and Caicos Islands,TCA,924583000
Vanuatu,VUT,881547929
St. Vincent and the Grenadines,VCT,807474074
Samoa,WSM,807100821
American Samoa,ASM,709000000
Dominica,DMA,504214815
Tonga,TON,488829964
Sao Tome and Principe,STP,472914470
"Micronesia, Fed. Sts.",FSM,410083600
Palau,PLW,257700000
Marshall Islands,MHL,244462400
Kiribati,KIR,197508774
Nauru,NRU,114626626
Tuvalu,TUV,48855550
Aruba,ABW,
Andorra,AND,
Channel Islands,CHI,
Eritrea,ERI,
Faroe Islands,FRO,
Gibraltar,GIB,
Greenland,GRL,
Isle of Man,IMN,
Not classified,INX,
Liechtenstein,LIE,
St. Martin (French part),MAF,
Northern Mariana Islands,MNP,
New Caledonia,NCL,
"Korea, Dem. People's Rep.",PRK,
French Polynesia,PYF,
San Marino,SMR,
South Sudan,SSD,
Sint Maarten (Dutch part),SXM,
Syrian Arab Republic,SYR,
Turkmenistan,TKM,
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
"Yemen, Rep.",YEM,
